1st,2nd,3rd,4th,Prize,1 / Probability
1,2,3,4,$324.00,485.85
1,2,3,5,$416.00,624.67
1,2,3,6,$462.00,694.07
1,2,3,7,$508.00,763.48
1,2,3,8,$555.00,832.89
1,2,3,9,$693.00,1041.11
1,2,3,10,$924.00,1388.15
1,2,3,11,"$1,156.00",1735.18
1,2,3,12,"$1,387.00",2082.22
1,2,4,3,$349.00,524.51
1,2,4,5,$629.00,944.11
1,2,4,6,$699.00,1049.01
1,2,4,7,$768.00,1153.91
1,2,4,8,$838.00,1258.82
1,2,4,9,"$1,048.00",1573.52
1,2,4,10,"$1,397.00",2098.03
1,2,4,11,"$1,747.00",2622.53
1,2,4,12,"$2,096.00",3147.04
1,2,5,3,$468.00,701.98
1,2,5,4,$655.00,982.77
1,2,5,6,$935.00,1403.95
1,2,5,7,"$1,029.00",1544.35
1,2,5,8,"$1,122.00",1684.74
1,2,5,9,"$1,403.00",2105.93
1,2,5,10,"$1,870.00",2807.91
1,2,5,11,"$2,338.00",3509.88
1,2,5,12,"$2,805.00",4211.86
1,2,6,3,$527.00,790.71
1,2,6,4,$737.00,1107.00
1,2,6,5,$948.00,1423.28
1,2,6,7,"$1,159.00",1739.57
1,2,6,8,"$1,264.00",1897.71
1,2,6,9,"$1,580.00",2372.13
1,2,6,10,"$2,106.00",3162.85
1,2,6,11,"$2,633.00",3953.56
1,2,6,12,"$3,160.00",4744.27
1,2,7,3,$586.00,879.45
1,2,7,4,$820.00,1231.23
1,2,7,5,"$1,054.00",1583.00
1,2,7,6,"$1,171.00",1758.89
1,2,7,8,"$1,406.00",2110.67
1,2,7,9,"$1,757.00",2638.34
1,2,7,10,"$2,343.00",3517.79
1,2,7,11,"$2,928.00",4397.23
1,2,7,12,"$3,514.00",5276.68
1,2,8,3,$645.00,968.18
1,2,8,4,$903.00,1355.45
1,2,8,5,"$1,161.00",1742.73
1,2,8,6,"$1,290.00",1936.36
1,2,8,7,"$1,419.00",2130.00
1,2,8,9,"$1,934.00",2904.55
1,2,8,11,"$3,224.00",4840.91
1,2,8,12,"$3,869.00",5809.09
1,2,9,3,$822.00,1234.39
1,2,9,4,"$1,151.00",1728.14
1,2,9,5,"$1,480.00",2221.90
1,2,9,6,"$1,644.00",2468.77
1,2,9,7,"$1,809.00",2715.65
1,2,9,8,"$1,973.00",2962.53
1,2,9,10,"$3,288.00",4937.55
1,2,9,11,"$4,110.00",6171.94
1,2,9,12,"$4,932.00",7406.32
1,2,10,3,"$1,118.00",1678.06
1,2,10,4,"$1,565.00",2349.29
1,2,10,5,"$2,012.00",3020.51
1,2,10,6,"$2,235.00",3356.12
1,2,10,7,"$2,459.00",3691.74
1,2,10,8,"$2,682.00",4027.35
1,2,10,9,"$3,353.00",5034.19
1,2,10,11,"$5,588.00",8390.31
1,2,10,12,"$6,705.00",10068.37
1,2,11,3,"$1,413.00",2121.74
1,2,11,4,"$1,978.00",2970.43
1,2,11,5,"$2,543.00",3819.13
1,2,11,6,"$2,826.00",4243.48
1,2,11,7,"$3,109.00",4667.82
1,2,11,8,"$3,391.00",5092.17
1,2,11,9,"$4,239.00",6365.21
1,2,11,10,"$5,652.00",8486.95
1,2,11,12,"$8,478.00",12730.42
1,2,12,3,"$1,709.00",2565.41
1,2,12,4,"$2,392.00",3591.58
1,2,12,5,"$3,075.00",4617.74
1,2,12,6,"$3,417.00",5130.83
1,2,12,7,"$3,759.00",5643.91
1,2,12,8,"$4,100.00",6156.99
1,2,12,9,"$5,126.00",7696.24
1,2,12,10,"$6,834.00",10261.65
1,2,12,11,"$8,543.00",12827.06
1,3,2,4,$341.00,512.31
1,3,2,5,$439.00,658.68
1,3,2,6,$487.00,731.87
1,3,2,7,$536.00,805.05
1,3,2,8,$585.00,878.24
1,3,2,9,$731.00,1097.80
1,3,2,10,$975.00,1463.73
1,3,2,11,"$1,219.00",1829.67
1,3,2,12,"$1,462.00",2195.60
1,3,4,2,$392.00,588.73
1,3,4,5,$882.00,1324.65
1,3,4,6,$980.00,1471.83
1,3,4,7,"$1,078.00",1619.02
1,3,4,8,"$1,176.00",1766.20
1,3,4,9,"$1,470.00",2207.75
1,3,4,10,"$1,960.00",2943.67
1,3,4,12,"$2,941.00",4415.50
1,3,5,2,$524.00,786.06
1,3,5,4,$916.00,1375.60
1,3,5,6,"$1,309.00",1965.14
1,3,5,7,"$1,440.00",2161.66
1,3,5,8,"$1,571.00",2358.17
1,3,5,9,"$1,963.00",2947.72
1,3,5,10,"$2,618.00",3930.29
1,3,5,11,"$3,272.00",4912.86
1,3,5,12,"$3,926.00",5895.43
1,3,6,2,$589.00,884.72
1,3,6,4,"$1,031.00",1548.26
1,3,6,5,"$1,326.00",1990.62
1,3,6,7,"$1,620.00",2432.98
1,3,6,8,"$1,768.00",2654.16
1,3,6,9,"$2,210.00",3317.70
1,3,6,10,"$2,946.00",4423.60
1,3,6,11,"$3,683.00",5529.50
1,3,6,12,"$4,419.00",6635.40
